"region" "value"
"1" "alabama" 4777326
"2" "alaska" 711139
"3" "arizona" 6410979
"4" "arkansas" 2916372
"5" "california" 37325068
"6" "colorado" 5042853
"7" "connecticut" 3572213
"8" "delaware" 900131
"9" "district of columbia" 605759
"10" "florida" 18885152
"11" "georgia" 9714569
"12" "hawaii" 1362730
"13" "idaho" 1567803
"14" "illinois" 12823860
"15" "indiana" 6485530
"16" "iowa" 3047646
"17" "kansas" 2851183
"18" "kentucky" 4340167
"19" "louisiana" 4529605
"20" "maine" 1329084
"21" "maryland" 5785496
"22" "massachusetts" 6560595
"23" "michigan" 9897264
"24" "minnesota" 5313081
"25" "mississippi" 2967620
"26" "missouri" 5982413
"27" "montana" 990785
"28" "nebraska" 1827306
"29" "nevada" 2704204
"30" "new hampshire" 1317474
"31" "new jersey" 8793888
"32" "new mexico" 2055287
"33" "new york" 19398125
"34" "north carolina" 9544249
"35" "north dakota" 676253
"36" "ohio" 11533561
"37" "oklahoma" 3749005
"38" "oregon" 3836628
"39" "pennsylvania" 12699589
"40" "rhode island" 1052471
"41" "south carolina" 4630351
"42" "south dakota" 815871
"43" "tennessee" 6353226
"44" "texas" 25208897
"45" "utah" 2766233
"46" "vermont" 625498
"47" "virginia" 8014955
"48" "washington" 6738714
"49" "west virginia" 1850481
"50" "wisconsin" 5687219
"51" "wyoming" 562803
